0,1,2,split
7F4EDF6B,paper_cite_paper,7DE5C7B3,train
8043E6B1,paper_in_domain,0724DFBA,train
761ED33D,author_in_affiliation,863BFDE1,train
7EDC3DBE,author_write_paper,69EE840D,train
8027D2E1,author_write_paper,7FB2D661,train
0EB4AB71,author_in_affiliation,0734E3CC,train
7DF589F2,paper_in_domain,009B0ED0,train
7EDC3DBE,author_write_paper,7E313885,train
6EC57A0A,author_in_affiliation,4F05DC4B,train
808C1F83,paper_in_domain,0158B32C,train
80A1C656,paper_in_domain,09715BDF,train
805DAC0F,paper_in_venue,43ABF249,train
73886989,paper_in_venue,45701BF3,train
75EF8D28,paper_cite_paper,5A489C1D,train
803FBE27,paper_cite_paper,5F5EC578,train
77BA3CD0,paper_in_venue,4566232D,train
12595477,author_write_paper,8058CA3C,train
626274C5,paper_cite_paper,5A2344CD,train
7EE605E9,paper_cite_paper,7FA1B1E4,train
80BBF0C9,paper_in_domain,06B6C231,train
7FBCDA67,paper_in_domain,000B4A2A,train
7F720503,paper_in_domain,0162605E,train
73B15DE1,paper_in_domain,0984BFF1,train
7F713DFB,paper_cite_paper,7F8EFA51,train
814DA0EC,author_write_paper,7DC85049,train
80C30C78,paper_in_venue,43ABF249,train
5F34EB59,paper_in_domain,0A7DBC5D,train
7DD09999,paper_cite_paper,7E313885,train
7D1D9836,author_write_paper,7F4D016F,train
753B8644,paper_in_domain,013748B2,train
7435DFB8,paper_in_domain,0BA4ED78,train
7B338C34,author_write_paper,79FB4F8D,train
7DADBDAE,paper_in_venue,43319DD4,train
7E00A072,paper_in_domain,02032DFA,train
789B665A,author_write_paper,7D2702F8,train
77DE68C5,paper_in_venue,45701BF3,train
794E06CD,author_write_paper,7C37FEB1,train
5A62EE4E,paper_in_domain,0A9A31BF,train
0B8DE230,author_write_paper,8092EB86,train
7F344E78,paper_cite_paper,7FE1A45C,train
78B68E31,author_in_affiliation,0966B229,train
7DD037EA,paper_in_domain,076BC823,train
7F27758C,author_write_paper,7F34FB79,train
8172E641,paper_in_domain,022C6839,train
2C5107AB,author_write_paper,7819D431,train
7D9D2AD9,paper_cite_paper,7F3A5612,train
7F34986C,paper_in_domain,02724C38,train
816B9993,paper_cite_paper,0C000895,train
8165D17C,paper_in_domain,0BABF586,train
80200566,paper_in_domain,0322F49A,train
23809EF1,author_write_paper,09B9F954,train
7D051D4C,paper_in_domain,0757D77D,train
0A78292C,author_write_paper,7BB73220,train
7DEFD08E,author_in_affiliation,09E3EE34,train
7A06B5CE,paper_in_domain,0271BC14,train
7DAABBEA,author_in_affiliation,4CE6FC2D,train
7FF1B7C9,author_in_affiliation,4F05DC4B,train
7564E769,author_in_affiliation,05C86094,train
5CFD5936,paper_in_domain,0724DFBA,train
11BA75DA,author_write_paper,7EECACCA,train
7D43B6D6,paper_cite_paper,789C4B08,train
860A9CB0,paper_in_domain,05590803,train
79609C5D,paper_in_venue,46A05BB0,train
803EE02D,paper_in_domain,20AD2170,train
77CA0096,author_write_paper,681051A7,train
7ABA248D,paper_cite_paper,7B7B1654,train
8008499B,paper_in_domain,06545253,train
7D6FF632,author_write_paper,62A128A3,train
813D10BE,paper_in_domain,01E7DD16,train
7C859F58,author_write_paper,80AC9892,train
7D45DC63,paper_in_domain,082123F9,train
7D6229C8,author_in_affiliation,05C86094,train
7A92CFC6,author_write_paper,5A6F4205,train
7D4A568F,paper_in_domain,04625E4E,train
7FCA379B,paper_in_domain,0496747A,train
7B6CCC91,paper_in_domain,00BB2E8D,train
765936DE,author_write_paper,7ED1C192,train
2A5EFA54,author_write_paper,7F06BE92,train
7D0B02CC,paper_in_domain,1FFF546D,train
7F794B37,paper_in_venue,46AD78C1,train
7D775430,paper_in_domain,0271BC14,train
7F350489,paper_cite_paper,80ED9D00,train
8276D211,author_in_affiliation,0C01DCFD,train
7F70B0C6,paper_in_domain,01AB58F8,train
84F98CEB,author_write_paper,80BE3E10,train
7B9ACB70,paper_in_domain,07836DCA,train
7D335516,author_write_paper,7D1B8ED5,train
7FA5F67F,paper_cite_paper,816791BB,train
811B89EC,paper_in_venue,460A7036,train
7F70A239,paper_cite_paper,771ACBAD,train
800EDE37,author_in_affiliation,0B3CDF24,train
80493291,paper_cite_paper,7F0904E6,train
862CF855,author_write_paper,08AEF537,train
80A2BA8D,paper_cite_paper,80060D7C,train
6139F1EE,paper_cite_paper,6260B523,train
01DD01F0,author_write_paper,812030A8,train
7FA0D715,paper_in_domain,0A401A5A,train
03552FB1,paper_in_domain,0162605E,train
788B7D6D,author_in_affiliation,070DD5D4,train
7C5F512B,author_in_affiliation,0B0ADEB6,train
800F8DFC,paper_in_domain,040130E0,train
7ADBD2EC,paper_cite_paper,5917287D,train
7F8B2D42,paper_in_domain,03DDEE22,train
7BBC933B,author_write_paper,7EEE947A,train
848EF210,author_write_paper,79EC1A2D,train
75BF6D6C,author_in_affiliation,0AC9113B,train
810E724D,paper_cite_paper,7ACD2775,train
7FF398F5,paper_in_domain,0C655874,train
7DB13559,paper_in_domain,0C2DB2A7,train
7F890011,author_write_paper,0AB2D6E8,train
7D3939CB,author_write_paper,80DFD4C1,train
7BF9AE74,paper_in_domain,06B6C231,train
5A5C16E2,paper_cite_paper,75DE32D6,train
7E914817,paper_in_domain,01E7DD16,train
7A5A2833,paper_cite_paper,7F41F826,train
78010776,paper_in_domain,094191A6,train
7AD4725A,paper_in_domain,04281F73,train
7D404B2E,author_in_affiliation,04F353DF,train
7EACB2D7,paper_in_domain,0271BC14,train
7E774356,paper_cite_paper,7F3EC696,train
7E902951,author_in_affiliation,4FF45383,train
80E48B8C,paper_in_venue,46DAB993,train
029DC9A6,author_in_affiliation,049573B2,train
74D89F62,author_write_paper,7D82EEC5,train
7F5F2E41,paper_in_domain,028649F0,train
5C351180,paper_in_domain,020298BB,train
